Report,Chapter,Last Name,First Name,CountIfs,Role,Gender,Country of Residence,Citizenship,Affiliation
SYR,SPM,ALDUNCE,Paulina,3,Core_Writing_Team,F,Chile,Chile,University of Chile
SYR,SPM,BLANCO,Gabriel,3,Core_Writing_Team,M,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina"
SYR,SPM,CALVIN,Katherine,4,Core_Writing_Team,F,United States of America,USA,University of Maryland
SYR,SPM,CHEUNG,William (wai Lung),3,Core_Writing_Team,M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia"
SYR,SPM,DASGUPTA,Dipak,3,Core_Writing_Team,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI)
SYR,SPM,DENTON,Fatima,4,Core_Writing_Team,F,Ghana,Gambia,
SYR,SPM,DIONGUE-NIANG,Aïda,3,Core_Writing_Team,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM
SYR,SPM,DODMAN,David,3,Core_Writing_Team,M,Netherlands,Jamaica,Institute for Housing and Urban Development Studies
SYR,SPM,GARSCHAGEN,Matthias,5,Core_Writing_Team,M,Germany,Germany,Ludwig-Maximilians-University Munich
SYR,SPM,GEDEN,Oliver,3,Core_Writing_Team,M,Germany,Germany,WGIII Vice-Chair
SYR,SPM,HAYWARD,Bronwyn,4,Core_Writing_Team,F,New Zealand,New Zealand,University of Canterbury
SYR,SPM,JONES,Christopher,3,Core_Writing_Team,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre
SYR,SPM,JOTZO,Frank,3,Core_Writing_Team,M,Australia,Australia,Australian National University
SYR,SPM,KRINNER,Gerhard,3,Core_Writing_Team,M,France,France,CNRS
SYR,SPM,LASCO,Rodel,3,Core_Writing_Team,M,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION
SYR,SPM,LEE,June-yi,3,Core_Writing_Team,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics
SYR,SPM,MEINSHAUSEN,Malte,3,Core_Writing_Team,M,Australia,Germany,The University of Melbourne
SYR,SPM,MUKHERJI,Aditi,4,Core_Writing_Team,F,Kenya,India,CGIAR
SYR,SPM,OTTO,Friederike,3,Core_Writing_Team,F,United Kingdom (of Great Britain and Northern Ireland),UK,Imperial College London
SYR,SPM,REVI,Aromar,4,Core_Writing_Team,M,India,India,Indian Institute for Human Settlements
SYR,SPM,ROY,Joyashree,4,Core_Writing_Team,F,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India"
SYR,SPM,RUANE,Alexander,3,Core_Writing_Team,M,United States of America,USA,NASA Goddard Institute for Space Studies
SYR,SPM,SLANGEN,Aimée,3,Core_Writing_Team,F,Netherlands,Netherlands,NIOZ Royal Netherlands Institute for Sea Research
SYR,SPM,SöRENSSON,Anna Amelia,3,Core_Writing_Team,F,Argentina,Argentina,"Center for Ocean and Atmosphere Sciences (CIMA / CONICET-UBA), Franco-Argentinian Institute for the Study of Climate and its Impacts (UMI-IFAECI/CNRS-CONICET-UBA)"
SYR,SPM,THORNE,Peter,3,Core_Writing_Team,M,Ireland,Ireland,Maynooth University
SYR,SPM,TRISOS,Christopher,3,Core_Writing_Team,M,South Africa,South Africa,University of Cape Town
SYR,SPM,VAN VUUREN,Detlef,3,Core_Writing_Team,M,Netherlands,Netherlands,PBL Netherlands Environmental Assessment Agency
SYR,SPM,WEI,Yi-ming,3,Core_Writing_Team,M,China,China,"Center for Energy and Environmental Policy Research, Beijing Institute of Technology"
SYR,SPM,WINKLER,Harald,3,Core_Writing_Team,M,South Africa,South Africa,"Energy Research Centre, University of Cape Town"
SYR,SPM,ZOMMERS,Zinta,4,Core_Writing_Team,F,United States of America,Latvia,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA)
SYR,LR,ALDUNCE,Paulina,3,Core_Writing_Team,F,Chile,Chile,University of Chile
SYR,LR,BLANCO,Gabriel,3,Core_Writing_Team,M,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina"
SYR,LR,CALVIN,Katherine,4,Core_Writing_Team,F,United States of America,USA,University of Maryland
SYR,LR,CHEUNG,William (wai Lung),3,Core_Writing_Team,M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia"
SYR,LR,DASGUPTA,Dipak,3,Core_Writing_Team,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI)
SYR,LR,DENTON,Fatima,4,Core_Writing_Team,F,Ghana,Gambia,
SYR,LR,DIONGUE-NIANG,Aïda,3,Core_Writing_Team,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM
SYR,LR,DODMAN,David,3,Core_Writing_Team,M,Netherlands,Jamaica,Institute for Housing and Urban Development Studies
SYR,LR,GARSCHAGEN,Matthias,5,Core_Writing_Team,M,Germany,Germany,Ludwig-Maximilians-University Munich
SYR,LR,GEDEN,Oliver,3,Core_Writing_Team,M,Germany,Germany,WGIII Vice-Chair
SYR,LR,HAYWARD,Bronwyn,4,Core_Writing_Team,F,New Zealand,New Zealand,University of Canterbury
SYR,LR,JONES,Christopher,3,Core_Writing_Team,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre
SYR,LR,JOTZO,Frank,3,Core_Writing_Team,M,Australia,Australia,Australian National University
SYR,LR,KRINNER,Gerhard,3,Core_Writing_Team,M,France,France,CNRS
SYR,LR,LASCO,Rodel,3,Core_Writing_Team,M,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION
SYR,LR,LEE,June-yi,3,Core_Writing_Team,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics
SYR,LR,MEINSHAUSEN,Malte,3,Core_Writing_Team,M,Australia,Germany,The University of Melbourne
SYR,LR,MUKHERJI,Aditi,4,Core_Writing_Team,F,Kenya,India,CGIAR
SYR,LR,OTTO,Friederike,3,Core_Writing_Team,F,United Kingdom (of Great Britain and Northern Ireland),UK,Imperial College London
SYR,LR,REVI,Aromar,4,Core_Writing_Team,M,India,India,Indian Institute for Human Settlements
SYR,LR,ROY,Joyashree,4,Core_Writing_Team,F,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India"
SYR,LR,RUANE,Alexander,3,Core_Writing_Team,M,United States of America,USA,NASA Goddard Institute for Space Studies
SYR,LR,SLANGEN,Aimée,3,Core_Writing_Team,F,Netherlands,Netherlands,NIOZ Royal Netherlands Institute for Sea Research
SYR,LR,SöRENSSON,Anna Amelia,3,Core_Writing_Team,F,Argentina,Argentina,"Center for Ocean and Atmosphere Sciences (CIMA / CONICET-UBA), Franco-Argentinian Institute for the Study of Climate and its Impacts (UMI-IFAECI/CNRS-CONICET-UBA)"
SYR,LR,THORNE,Peter,3,Core_Writing_Team,M,Ireland,Ireland,Maynooth University
SYR,LR,TRISOS,Christopher,3,Core_Writing_Team,M,South Africa,South Africa,University of Cape Town
SYR,LR,VAN VUUREN,Detlef,3,Core_Writing_Team,M,Netherlands,Netherlands,PBL Netherlands Environmental Assessment Agency
SYR,LR,WEI,Yi-ming,3,Core_Writing_Team,M,China,China,"Center for Energy and Environmental Policy Research, Beijing Institute of Technology"
SYR,LR,WINKLER,Harald,3,Core_Writing_Team,M,South Africa,South Africa,"Energy Research Centre, University of Cape Town"
SYR,LR,ZOMMERS,Zinta,4,Core_Writing_Team,F,United States of America,Latvia,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA)
WGI,ATLAS,GUTIÉRREZ,José Manuel,1,CLA,M,Spain,Spain,Spanish Research Council (CSIC)
WGI,ATLAS,JONES,Richard,1,CLA,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre
WGI,ATLAS,NARISMA,Gemma Teresa,1,CLA,F,Philippines,Philippines,Manila Observatory
WGI,ATLAS,AMJAD,Muhammad,1,LA,M,Pakistan,Pakistan,"Global Climate-Change Impact Studies Centre (GCISC), Ministry of Climate Change and Environmental Coordination"
WGI,ATLAS,GORODETSKAYA,Irina,1,LA,F,Portugal,Russia,University of Aveiro
WGI,ATLAS,GROSE,Michael,1,LA,M,Australia,Australia,CSIRO Climate Science Centre
WGI,ATLAS,KLUTSE,Nana Ama Browne,1,LA,F,Ghana,Ghana,"Ghana Space Science and Technology Institute, Ghana Atomic Energy Commission"
WGI,ATLAS,KRAKOVSKA,Svitlana,2,LA,F,Ukraine,Ukraine,Ukrainian Hydrometeorological Institute
WGI,ATLAS,LI,Jian,1,LA,M,China,China,"Chinese Academy of Meteorological Sciences, China Meteorological Administration"
WGI,ATLAS,MARTíNEZ-CASTRO,Daniel,1,LA,M,Cuba,Cuba,Instituto de Meteorología
WGI,ATLAS,MEARNS,Linda,2,LA,F,United States of America,USA,National Center for Atmospheric Research
WGI,ATLAS,MERNILD,Sebastian H.,1,LA,M,Norway,Denmark,University of Southern Denmark
WGI,ATLAS,MUNIZ ALVES,Lincoln,1,LA,M,Brazil,Brazil,National Institute for Space Research (INPE)
WGI,ATLAS,NGO-DUC,Thanh,1,LA,M,Vietnam,Vietnam,"University of Science and Technology of Hanoi, Vietnam Academy of Science and Technology"
WGI,ATLAS,VAN DEN HURK,Bart,1,LA,M,Netherlands,Netherlands,Deltares
WGI,ATLAS,YOON,Jin-ho,1,LA,M,Republic of Korea,Republic of Korea,Gwangju Institute of Science and Technology
WGI,ATLAS,CAMILLONI,Inés,2,RE,F,Argentina,Argentina,WGI Vice-Chair
WGI,ATLAS,CHRISTENSEN,Jens Hesselbjerg,1,RE,M,Denmark,Denmark,"Niels Bohr Institute, University of Copenhagen"
WGI,ATLAS,DRIOUECH,Fatima,2,RE,F,Morocco,Morocco,University Mohammed VI Polytechnic
WGI,"Chapter 1: Framing, context, methods",CHEN,Deliang,1,CLA,M,Sweden,Sweden,University of Gothenburg
WGI,"Chapter 1: Framing, context, methods",ROJAS,Maisa,1,CLA,F,Chile,Chile,University of Chile
WGI,"Chapter 1: Framing, context, methods",SAMSET,Bjørn H.,1,CLA,M,Norway,Norway,CICERO Center for international climate research
WGI,"Chapter 1: Framing, context, methods",COBB,Kim,1,LA,F,United States of America,USA,Georgia Inst. of Technology
WGI,"Chapter 1: Framing, context, methods",DIONGUE-NIANG,Aïda,3,LA,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM
WGI,"Chapter 1: Framing, context, methods",EDWARDS,Paul,1,LA,M,United States of America,USA,Stanford University and University of Michigan
WGI,"Chapter 1: Framing, context, methods",EMORI,Seita,1,LA,M,Japan,Japan,"Institute for Future Initiatives, the University of Tokyo"
WGI,"Chapter 1: Framing, context, methods",FARIA,Sergio Henrique,1,LA,M,Spain,Brazil,BC3 - Basque Centre for Climate Change
WGI,"Chapter 1: Framing, context, methods",HAWKINS,Edward,1,LA,M,United Kingdom (of Great Britain and Northern Ireland),UK,"National Centre for Atmospheric Science, University of Reading"
WGI,"Chapter 1: Framing, context, methods",HOPE,Pandora,1,LA,F,Australia,Australia,Bureau of Meteorology
WGI,"Chapter 1: Framing, context, methods",HUYBRECHTS,Philippe,1,LA,M,Belgium,Belgium,"Earth System Science & Departement Geografie, Vrije Universiteit Brussel"
WGI,"Chapter 1: Framing, context, methods",MEINSHAUSEN,Malte,3,LA,M,Australia,Germany,The University of Melbourne
WGI,"Chapter 1: Framing, context, methods",MUSTAFA,Sawsan,1,LA,F,Sudan,Sudan,Ministry of Animal Resources /Range and Pasture General Directorate
WGI,"Chapter 1: Framing, context, methods",PLATTNER,Gian-kasper,1,LA,M,Switzerland,Switzerland,"Swiss Federal Research Institute for Forest, Snow and Landscape WSL"
WGI,"Chapter 1: Framing, context, methods",TREGUIER,Anne Marie,1,LA,F,France,France,CNRS
WGI,"Chapter 1: Framing, context, methods",CHUERSUWAN,Nares,1,RE,M,Thailand,Thailand,Suranaree University of Technology
WGI,"Chapter 1: Framing, context, methods",HEGERL,Gabriele C.,1,RE,F,United Kingdom (of Great Britain and Northern Ireland),UK,University of Edinburgh
WGI,"Chapter 1: Framing, context, methods",YASUNARI,Tetsuzo,1,RE,M,Japan,Japan,Research Institute for Humanity and Nature
WGI,Chapter 2: Changing state of the climate system,GULEV,Sergey,1,CLA,M,Russian Federation,Russia,"P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences"
WGI,Chapter 2: Changing state of the climate system,THORNE,Peter,3,CLA,M,Ireland,Ireland,Maynooth University
WGI,Chapter 2: Changing state of the climate system,AHN,Jinho,1,LA,M,Republic of Korea,Republic of Korea,Seoul National University
WGI,Chapter 2: Changing state of the climate system,DENTENER,Frank,1,LA,M,Italy,Netherlands,European Commission Joint Research Centre
WGI,Chapter 2: Changing state of the climate system,DOMINGUES,Catia M.,1,LA,F,Australia,Australia,"University of Tasmania, Institute for Marine and Antarctic Studies (IMAS) and Antarctic Climate & Ecosystems Cooperative Research Centre (ACE CRC)"
WGI,Chapter 2: Changing state of the climate system,GERLAND,Sebastian,1,LA,M,Norway,Germany,Norwegian Polar Institute
WGI,Chapter 2: Changing state of the climate system,GONG,Daoyi,1,LA,M,China,China,Beijing Normal University
WGI,Chapter 2: Changing state of the climate system,KAUFMAN,Darrell,1,LA,M,United States of America,USA,Northern Arizona University
WGI,Chapter 2: Changing state of the climate system,NNAMCHI,Hyacinth,1,LA,M,Nigeria,Nigeria,University of Nigeria
WGI,Chapter 2: Changing state of the climate system,QUAAS,Johannes,1,LA,M,Germany,Germany,Leipzig University
WGI,Chapter 2: Changing state of the climate system,RIVERA,Juan Antonio,1,LA,M,Argentina,Argentina,National Scientific and Technical Research Council of Argentina (CONICET)
WGI,Chapter 2: Changing state of the climate system,SATHYENDRANATH,Shubha,1,LA,F,United Kingdom (of Great Britain and Northern Ireland),UK,Plymouth Marine Laboratory
WGI,Chapter 2: Changing state of the climate system,SMITH,Sharon,1,LA,F,Canada,Canada,"Geological Survey of Canada, Natural Resources Canada"
WGI,Chapter 2: Changing state of the climate system,TREWIN,Blair,1,LA,M,Australia,Australia,Australian Bureau of Meteorology
WGI,Chapter 2: Changing state of the climate system,VON SHUCKMANN,Karina,2,LA,F,France,Germany,Mercator Ocean international
WGI,Chapter 2: Changing state of the climate system,VOSE,Russell,1,LA,M,United States of America,USA,NOAA/NCEI
WGI,Chapter 2: Changing state of the climate system,OSBORN,Timothy,1,RE,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of East Anglia
WGI,Chapter 2: Changing state of the climate system,ZARRIN,Azar,1,RE,F,Iran,Iran,Ferdowsi University of Mashhad
WGI,Chapter 3: Human influence on the climate system,EYRING,Veronika,1,CLA,F,Germany,Germany,"Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR), Institut für Physik der Atmosphäre, Oberpfaffenhofen; University of Bremen, Institute of Environmental Physics (IUP), Bremen, Germany"
WGI,Chapter 3: Human influence on the climate system,GILLETT,Nathan P.,1,CLA,M,Canada,Canada,"CCCma, Environment and Climate Change Canada"
WGI,Chapter 3: Human influence on the climate system,ACHUTARAO,Krishna,1,LA,M,India,India,Indian Institute of Technology Delhi
WGI,Chapter 3: Human influence on the climate system,BARIMALALA,Rondrotiana,1,LA,F,South Africa,South Africa,"School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, USA"
WGI,Chapter 3: Human influence on the climate system,BARREIRO PARRILLO,Marcelo,1,LA,M,Uruguay,Uruguay,Department of Atmospheric Sciences-Universidad de la República
WGI,Chapter 3: Human influence on the climate system,BELLOUIN,Nicolas,1,LA,M,United Kingdom (of Great Britain and Northern Ireland),France,"Department of Meteorology, University of Reading"
WGI,Chapter 3: Human influence on the climate system,CASSOU,Christophe,1,LA,M,France,France,LMD/CNRS
WGI,Chapter 3: Human influence on the climate system,DURACK,Paul,1,LA,M,United States of America,Australia,Lawrence Livermore National Laboratory
WGI,Chapter 3: Human influence on the climate system,KOSAKA,Yu,1,LA,F,Japan,Japan,"Research Center for Advanced Science and Technology, The University of Tokyo"
WGI,Chapter 3: Human influence on the climate system,MCGREGOR,Shayne,1,LA,M,Australia,Australia,"School of Earth, Amtosphere and Environment, Monash University"
WGI,Chapter 3: Human influence on the climate system,MIN,Seung-ki,1,LA,M,Republic of Korea,Republic of Korea,Pohang University of Science and Technology
WGI,Chapter 3: Human influence on the climate system,MORGENSTERN,Olaf,1,LA,M,New Zealand,Germany,National Institute of Water and Atmospheric Research (NIWA)
WGI,Chapter 3: Human influence on the climate system,SUN,Ying,1,LA,F,China,China,China Meteorological Administration
WGI,Chapter 3: Human influence on the climate system,HALENKA,Tomas,1,RE,M,Czech Republic,Czech Republic,Charles University
WGI,Chapter 3: Human influence on the climate system,MARENGO ORSINI,Jose Antonio,2,RE,M,Brazil,Peru,CEMADEN
WGI,Chapter 3: Human influence on the climate system,MITCHELL,Daniel,1,RE,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of Bristol
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,LEE,June-yi,3,CLA,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,MAROTZKE,Jochem,1,CLA,M,Germany,Germany,Max Planck Institute for Meteorology
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,BALA,Govindasamy,1,LA,M,India,USA,Indian Institute of Science
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,CAO,Long,1,LA,M,China,China,"School of Earth Sciences, Zhejiang University"
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,CORTI,Susanna,1,LA,F,Italy,Italy,Consiglio Nazionale delle Ricerche (CNR) - Istituto di Scienze dell
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,DUNNE,John,1,LA,M,United States of America,USA,NOAA Geophysical Fluid Dynamics Laboratory
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,ENGELBRECHT,Francois,2,LA,M,South Africa,South Africa,University of the Witwatersrand
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,FISCHER,Erich,1,LA,M,Switzerland,Switzerland,ETH Zurich
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,FYFE,John,1,LA,M,Canada,Canada,Environment and Climate Change Canada
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,JONES,Christopher,3,LA,M,United Kingdom (of Great Britain and Northern Ireland),UK,Met Office Hadley Centre
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,MAYCOCK,Amanda,1,LA,F,United Kingdom (of Great Britain and Northern Ireland),UK,University of Leeds
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,MUTEMI,Joseph,1,LA,M,Kenya,Kenya,University of Nairobi
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,NDIAYE,Ousman,1,LA,M,Niger,Senegal,African Center of Meteorological Applications for Development (ACMAD)
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,PANICKAL,Swapna,1,LA,F,India,India,Indian Institute of Tropical Meterology
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,ZHOU,Tianjun,1,LA,M,China,China,"Institute of Atmospheric Physics, Chinese Academy of Sciences"
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,KANIKICHARLA,Krishna Kumar,1,RE,M,Qatar,India,Qatar Meterology Department
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,KATTSOV,Vladimir,1,RE,M,Russian Federation,Russia,"Voeikov Main Geophysical Observatory, Federal Service for Hydrometeorology and Environmental Monitoring"
WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,KIMOTO,Masahide,1,RE,M,Japan,Japan,"Atmosphere and Ocean Research Institute, the University of Tokyo"
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,CANADELL,Josep,1,CLA,M,Australia,Australia,"Comonwealth Scientic and Industrial Organization (CSIRO), Oceans and Atmosphere"
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,SCHEEL MONTEIRO,Pedro,1,CLA,M,South Africa,South Africa,CSIR
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,COSTA,Marcos,1,LA,M,Brazil,Brazil,The Federal University of Viçosa
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,COTRIM DA CUNHA,Leticia,1,LA,F,Brazil,Brazil,Universidade do Estado do Rio de Janeiro UERJ
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,COX,Peter M.,1,LA,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of Exeter
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,ELISEEV,Alexey V.,1,LA,M,Russian Federation,Russia,Moscow State University
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,HENSON,Stephanie,1,LA,F,United Kingdom (of Great Britain and Northern Ireland),UK,National Oceanography Centre
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,ISHII,Masao,1,LA,M,Japan,Japan,"Oceanography and Geochemistry Research Department, Meteorological Research Institute, Japan Meteorological Agency"
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,JACCARD,Samuel,1,LA,M,Switzerland,Switzerland,"Institute of Geological Sciences and Oeaschger Center for Climate Change Research, University of Bern"
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,KOVEN,Charles,1,LA,M,United States of America,USA,University of California
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,LOHILA,Annalea,1,LA,F,Finland,Finland,Finnish Meteorological Institute
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,PATRA,Prabir,1,LA,M,Japan,India,Japan Agency for Marine-Earth Science and Technology
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,PIAO,Shilong,1,LA,M,China,China,Peking University
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,ROGELJ,Joeri,2,LA,M,United Kingdom (of Great Britain and Northern Ireland),Belgium,Imperial College London
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,SYAMPUNGANI,Stephen,1,LA,M,Zambia,Zambia,Copperbelt University
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,ZAEHLE,Sönke,1,LA,M,Germany,Germany,Max Planck Institute for Biogeochemistry
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,ZICKFELD,Kirsten,2,LA,F,Canada,Canada,Simon Fraser University
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,BROVKIN,Victor,1,RE,M,Germany,Russia,Max Planck Institute for Meteorology
WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,FEELY,Richard,1,RE,M,United States of America,USA,NOAA Pacific marine Environmental Laboratory
WGI,Chapter 6: Short-lived climate forcers,NAIK,Vaishali,1,CLA,F,United States of America,USA,GFDL/NOAA
WGI,Chapter 6: Short-lived climate forcers,SZOPA,Sophie,1,CLA,F,France,France,Laboratoire des Sciences du Climat et de l'Environnement / Commissariat à l'Energie Atomique et aux Energies Alternatives
WGI,Chapter 6: Short-lived climate forcers,ADHIKARY,Bhupesh,1,LA,M,Nepal,Nepal,International Centre for Integrated Mountain Development (ICIMOD)
WGI,Chapter 6: Short-lived climate forcers,ARTAXO NETTO,Paulo Eduardo,2,LA,M,Brazil,Brazil,University of São Paulo - Institute of Physics
WGI,Chapter 6: Short-lived climate forcers,BERNTSEN,Terje,1,LA,M,Norway,Norway,"University of Oslo, Norway"
WGI,Chapter 6: Short-lived climate forcers,COLLINS,William D.,1,LA,M,United States of America,USA,"Lawrence Berkeley Laboratory and University of California, Berkeley"
