Report,Chapter,Last Name,First Name,CountIfs,Role,Gender,Country of Residence,Citizenship,Affiliation
SYR,SPM,Aldunce,Paulina,3,Core Writing Team,Female,Chile,Chile,University of Chile
SYR,SPM,Blanco,Gabriel,3,Core Writing Team,Male,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina"
SYR,SPM,Calvin,Katherine,4,Core Writing Team,Female,United States of America,United States of America,University of Maryland
SYR,SPM,Cheung,William (Wai Lung),3,Core Writing Team,Male,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia"
SYR,SPM,Dasgupta,Dipak,3,Core Writing Team,Male,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI)
SYR,SPM,Denton,Fatima,4,Core Writing Team,Female,Ghana,Gambia,
SYR,SPM,Diongue-Niang,Aïda,3,Core Writing Team,Female,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM
SYR,SPM,Dodman,David,3,Core Writing Team,Male,Netherlands,Jamaica,Institute for Housing and Urban Development Studies
SYR,SPM,Garschagen,Matthias,5,Core Writing Team,Male,Germany,Germany,Ludwig-Maximilians-University Munich
SYR,SPM,Geden,Oliver,3,Core Writing Team,Male,Germany,Germany,WGIII Vice-Chair
SYR,SPM,Hayward,Bronwyn,4,Core Writing Team,Female,New Zealand,New Zealand,University of Canterbury
SYR,SPM,Jones,Christopher,3,Core Writing Team,Male,United Kingdom (of Great Britain and Northern Ireland),United Kingdom (of Great Britain and Northern Ireland),Met Office Hadley Centre
SYR,SPM,Jotzo,Frank,3,Core Writing Team,Male,Australia,Australia,Australian National University
SYR,SPM,Krinner,Gerhard,3,Core Writing Team,Male,France,France,CNRS
SYR,SPM,Lasco,Rodel,3,Core Writing Team,Male,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION
SYR,SPM,Lee,June-Yi,3,Core Writing Team,Female,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics
SYR,SPM,Meinshausen,Malte,3,Core Writing Team,Male,Australia,Germany,The University of Melbourne
SYR,SPM,Mukherji,Aditi,4,Core Writing Team,Female,Kenya,India,CGIAR
SYR,SPM,Otto,Friederike,3,Core Writing Team,Female,United Kingdom (of Great Britain and Northern Ireland),United Kingdom (of Great Britain and Northern Ireland),Imperial College London
SYR,SPM,Revi,Aromar,4,Core Writing Team,Male,India,India,Indian Institute for Human Settlements
SYR,SPM,Roy,Joyashree,4,Core Writing Team,Female,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India"
SYR,SPM,Ruane,Alexander,3,Core Writing Team,Male,United States of America,United States of America,NASA Goddard Institute for Space Studies
